File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF321NZU	bed narrowPeak	peaks	ENCSR179CDH	DNase-seq	CL:0000351	trophoblast cell	in vitro differentiated cells	embryonic	male	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF247OEM, ENCFF967OQF	2084633	ENCODE Processing Pipeline	7cdae3a7cc93141bb05a4fbea9ff9e34		https://www.encodeproject.org/files/ENCFF321NZU/@@download/ENCFF321NZU.bed.gz	GRCh38			released	low spot score			
ENCFF306JAS	bed narrowPeak	peaks	ENCSR179CDH	DNase-seq	CL:0000351	trophoblast cell	in vitro differentiated cells	embryonic	male	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF391ZRU	2071550	ENCODE Processing Pipeline	b3b70bf16b3b7aa9c4fc2ff0a8b07b82		https://www.encodeproject.org/files/ENCFF306JAS/@@download/ENCFF306JAS.bed.gz	hg19			released	low spot score			
ENCFF047EML	bed narrowPeak	peaks	ENCSR938UOR	DNase-seq	UBERON:0001383	muscle of leg	tissue	embryonic	female	115 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF506HYD, ENCFF992CZQ	412378	ENCODE Processing Pipeline	05665c4549ae1e2de231323506d74237		https://www.encodeproject.org/files/ENCFF047EML/@@download/ENCFF047EML.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF911AZF	bed narrowPeak	peaks	ENCSR938UOR	DNase-seq	UBERON:0001383	muscle of leg	tissue	embryonic	female	115 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF195URO	409865	ENCODE Processing Pipeline	1dc8459762c835c541d5abb49ed76736		https://www.encodeproject.org/files/ENCFF911AZF/@@download/ENCFF911AZF.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF500XRA	bed narrowPeak	peaks	ENCSR938UOR	DNase-seq	UBERON:0001383	muscle of leg	tissue	embryonic	female	115 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF262CTP, ENCFF967OQF	437945	ENCODE Processing Pipeline	9da3f9a17e744dc2ffdc0e0ea539a666		https://www.encodeproject.org/files/ENCFF500XRA/@@download/ENCFF500XRA.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF405FRU	bed narrowPeak	peaks	ENCSR938UOR	DNase-seq	UBERON:0001383	muscle of leg	tissue	embryonic	female	115 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF245HUN, ENCFF390DNP	437777	ENCODE Processing Pipeline	79fe8aa6cea32b3949a1cacb420f510c		https://www.encodeproject.org/files/ENCFF405FRU/@@download/ENCFF405FRU.bed.gz	hg19			released	low read depth, low spot score			
ENCFF082AUS	bed narrowPeak	peaks	ENCSR501FWC	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	136 day	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF780CAD	3819194	John Stamatoyannopoulos, UW	9219c15c149cb351f33d6f7812375c9a		https://www.encodeproject.org/files/ENCFF082AUS/@@download/ENCFF082AUS.bed.gz	hg19			archived	low spot score		unreplicated experiment	
ENCFF891RPL	bed narrowPeak	peaks	ENCSR501FWC	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	136 day	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF163ZHO, ENCFF439BEM	2147412	ENCODE Processing Pipeline	bbc8a29374851732e0d252c351a68124		https://www.encodeproject.org/files/ENCFF891RPL/@@download/ENCFF891RPL.bed.gz	hg19			archived	low spot score		unreplicated experiment	
ENCFF121KYV	bed narrowPeak	peaks	ENCSR501FWC	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	136 day	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF597HNL, ENCFF992CZQ	2150723	ENCODE Processing Pipeline	45160b4cb011904364e69f5959946820		https://www.encodeproject.org/files/ENCFF121KYV/@@download/ENCFF121KYV.bed.gz	GRCh38			archived	low spot score		unreplicated experiment	
ENCFF352VEF	bed narrowPeak	peaks	ENCSR501FWC	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	136 day	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF430WNU, ENCFF967OQF	2138133	ENCODE Processing Pipeline	92d30fd9b813eb883d27d07bf0f8c53e		https://www.encodeproject.org/files/ENCFF352VEF/@@download/ENCFF352VEF.bed.gz	GRCh38			released	low spot score		unreplicated experiment	
ENCFF608VFB	bed narrowPeak	peaks	ENCSR501FWC	DNase-seq	UBERON:0002084	heart left ventricle	tissue	embryonic	female	136 day	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF152KTS, ENCFF390DNP	2136050	ENCODE Processing Pipeline	0db012a4e4fc94bfdada87ffe7e64ad7		https://www.encodeproject.org/files/ENCFF608VFB/@@download/ENCFF608VFB.bed.gz	hg19			released	low spot score		unreplicated experiment	
ENCFF118AXD	bed narrowPeak	peaks	ENCSR154YPL	DNase-seq	UBERON:0000059	large intestine	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF652BOT	868722	ENCODE Processing Pipeline	7109a6ff0db81e236b1cd4bb9355bd42		https://www.encodeproject.org/files/ENCFF118AXD/@@download/ENCFF118AXD.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF270OXY	bed narrowPeak	peaks	ENCSR154YPL	DNase-seq	UBERON:0000059	large intestine	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF063YHG, ENCFF992CZQ	871894	ENCODE Processing Pipeline	bcb6c66a61ff9c91e3cfb1637235a23f		https://www.encodeproject.org/files/ENCFF270OXY/@@download/ENCFF270OXY.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF077NBT	bed narrowPeak	peaks	ENCSR154YPL	DNase-seq	UBERON:0000059	large intestine	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF225YGR, ENCFF967OQF	903864	ENCODE Processing Pipeline	ac3441db910424463c89f874d474e823		https://www.encodeproject.org/files/ENCFF077NBT/@@download/ENCFF077NBT.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF601ZWO	bed narrowPeak	peaks	ENCSR154YPL	DNase-seq	UBERON:0000059	large intestine	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF810JGX	902377	ENCODE Processing Pipeline	dd83ac8e8b1249ca2b1365e0e6f689be		https://www.encodeproject.org/files/ENCFF601ZWO/@@download/ENCFF601ZWO.bed.gz	hg19			released	low read depth, low spot score			
ENCFF001UWS	bed narrowPeak	peaks	ENCSR000EKO	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens	dimethyl sulfoxide						DNA		see document	see document		False	2012-08-28	ENCODE												2218978	Gregory Crawford, Duke	b2127a59f5a0a232bb914e865b635134		https://www.encodeproject.org/files/ENCFF001UWS/@@download/ENCFF001UWS.bed.gz	hg19			archived		missing derived_from, missing raw data in replicate		extremely low read depth, extremely low spot score
ENCFF451CMC	bed narrowPeak	peaks	ENCSR000EKO	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens	dimethyl sulfoxide						DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF308VHI, ENCFF967OQF	112	ENCODE Processing Pipeline	8f68e630b34f725ffa8167e689b345ee		https://www.encodeproject.org/files/ENCFF451CMC/@@download/ENCFF451CMC.bed.gz	GRCh38			released		missing raw data in replicate		extremely low read depth, extremely low spot score
ENCFF021KOY	bed narrowPeak	peaks	ENCSR000EKO	DNase-seq	EFO:0002067	K562	immortalized cell line	adult	female	53 year	Homo sapiens	dimethyl sulfoxide						DNA		see document	see document		False	2012-08-28	ENCODE				1							ENCFF390DNP, ENCFF609UXC	2886092	ENCODE Processing Pipeline	9586cde4eef3703dc7a618d1200019f5		https://www.encodeproject.org/files/ENCFF021KOY/@@download/ENCFF021KOY.bed.gz	hg19			released		missing raw data in replicate		extremely low read depth, extremely low spot score
ENCFF925JSO	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				1							ENCFF298CKE	4254263	John Stamatoyannopoulos, UW	4d7f8189f18ae067efdb3b83a1d219e6		https://www.encodeproject.org/files/ENCFF925JSO/@@download/ENCFF925JSO.bed.gz	hg19			archived				
ENCFF778MGI	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF956ITZ	2206677	John Stamatoyannopoulos, UW	1ce58bcaf193b11f9291b61a0d24c793		https://www.encodeproject.org/files/ENCFF778MGI/@@download/ENCFF778MGI.bed.gz	hg19			archived				
ENCFF317XWF	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				1							ENCFF163ZHO, ENCFF306NVY	2558215	ENCODE Processing Pipeline	945e3785a08b181395baff468a5ba9fe		https://www.encodeproject.org/files/ENCFF317XWF/@@download/ENCFF317XWF.bed.gz	hg19			archived				
ENCFF869AYK	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF163ZHO, ENCFF274NMJ	1990702	ENCODE Processing Pipeline	a8d6fa410631e7c70747a09efa064201		https://www.encodeproject.org/files/ENCFF869AYK/@@download/ENCFF869AYK.bed.gz	hg19			archived				
ENCFF680BZR	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				1							ENCFF583GKI, ENCFF992CZQ	4747511	ENCODE Processing Pipeline	4aa8f18c81e4131fb359b9c857c78b19		https://www.encodeproject.org/files/ENCFF680BZR/@@download/ENCFF680BZR.bed.gz	GRCh38			archived				
ENCFF134EZN	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF679OWI, ENCFF992CZQ	2000525	ENCODE Processing Pipeline	4a4983335bcf888652fba294c13278c1		https://www.encodeproject.org/files/ENCFF134EZN/@@download/ENCFF134EZN.bed.gz	GRCh38			archived				
ENCFF895VHC	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				1							ENCFF156AXX, ENCFF967OQF	4728476	ENCODE Processing Pipeline	177b5de8a93d392091aef607f940eced		https://www.encodeproject.org/files/ENCFF895VHC/@@download/ENCFF895VHC.bed.gz	GRCh38			released				
ENCFF205GHG	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF191RYF, ENCFF967OQF	1767748	ENCODE Processing Pipeline	9ab4dc988201f82f38c0fa9256547331		https://www.encodeproject.org/files/ENCFF205GHG/@@download/ENCFF205GHG.bed.gz	GRCh38			released				
ENCFF398PRG	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				1							ENCFF390DNP, ENCFF691UDN	4712712	ENCODE Processing Pipeline	81f1753ebe1be50d2b1047c3318ff614		https://www.encodeproject.org/files/ENCFF398PRG/@@download/ENCFF398PRG.bed.gz	hg19			released				
ENCFF841UKC	bed narrowPeak	peaks	ENCSR121ZSL	DNase-seq	CL:0000351	trophoblast cell	primary cell	embryonic	unknown	21 week	Homo sapiens							DNA					False	2016-05-09	ENCODE				2							ENCFF390DNP, ENCFF717BDD	1761705	ENCODE Processing Pipeline	770d9636126e0e0444c300447c9c626d		https://www.encodeproject.org/files/ENCFF841UKC/@@download/ENCFF841UKC.bed.gz	hg19			released				
ENCFF409JTM	bed narrowPeak	peaks	ENCSR318WOD	DNase-seq	UBERON:0002048	lung	tissue	embryonic	male	103 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF297FGD	1022630	ENCODE Processing Pipeline	c805fec64b571867583629c2150c2007		https://www.encodeproject.org/files/ENCFF409JTM/@@download/ENCFF409JTM.bed.gz	hg19			archived	low read depth			
ENCFF782KJY	bed narrowPeak	peaks	ENCSR318WOD	DNase-seq	UBERON:0002048	lung	tissue	embryonic	male	103 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF706IPY, ENCFF992CZQ	1026279	ENCODE Processing Pipeline	cf6a3b4b6151f7db3dce5dd5d260474b		https://www.encodeproject.org/files/ENCFF782KJY/@@download/ENCFF782KJY.bed.gz	GRCh38			archived	low read depth			
ENCFF914SZL	bed narrowPeak	peaks	ENCSR318WOD	DNase-seq	UBERON:0002048	lung	tissue	embryonic	male	103 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF072MYZ, ENCFF967OQF	1074909	ENCODE Processing Pipeline	f4cab2fa291799cafcc7ffc6417030e8		https://www.encodeproject.org/files/ENCFF914SZL/@@download/ENCFF914SZL.bed.gz	GRCh38			released	low read depth			
ENCFF203UET	bed narrowPeak	peaks	ENCSR318WOD	DNase-seq	UBERON:0002048	lung	tissue	embryonic	male	103 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF615FRI	1072358	ENCODE Processing Pipeline	0c5776a7e986040d071d4eb00591a880		https://www.encodeproject.org/files/ENCFF203UET/@@download/ENCFF203UET.bed.gz	hg19			released	low read depth			
ENCFF285FXR	bed narrowPeak	peaks	ENCSR682PKY	DNase-seq	UBERON:0002370	thymus	tissue	embryonic	female	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF810FRM, ENCFF992CZQ	701990	ENCODE Processing Pipeline	377b0ffed3e10b4961534d7fffa11131		https://www.encodeproject.org/files/ENCFF285FXR/@@download/ENCFF285FXR.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF790SST	bed narrowPeak	peaks	ENCSR682PKY	DNase-seq	UBERON:0002370	thymus	tissue	embryonic	female	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF278PAV	696258	ENCODE Processing Pipeline	16ee21f95406ca08bb038e8f73c820e1		https://www.encodeproject.org/files/ENCFF790SST/@@download/ENCFF790SST.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF526QUD	bed narrowPeak	peaks	ENCSR682PKY	DNase-seq	UBERON:0002370	thymus	tissue	embryonic	female	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF139RJL, ENCFF967OQF	718160	ENCODE Processing Pipeline	b6f5ee1e8402b5dd85b7340d416ff510		https://www.encodeproject.org/files/ENCFF526QUD/@@download/ENCFF526QUD.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF627ACQ	bed narrowPeak	peaks	ENCSR682PKY	DNase-seq	UBERON:0002370	thymus	tissue	embryonic	female	unknown	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF315TUQ, ENCFF390DNP	713747	ENCODE Processing Pipeline	93bc20b3db40569dd7a99fd78ac87d1e		https://www.encodeproject.org/files/ENCFF627ACQ/@@download/ENCFF627ACQ.bed.gz	hg19			released	low read depth, low spot score			
ENCFF456NFP	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	left kidney	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF658APQ, ENCFF992CZQ	703380	ENCODE Processing Pipeline	ef79cd286f7e3472b6c37bafe5588d0e		https://www.encodeproject.org/files/ENCFF456NFP/@@download/ENCFF456NFP.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF200RYP	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	left kidney	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF484HLD	700152	ENCODE Processing Pipeline	d9105366993b0d362aaa8eaa6d6d22c8		https://www.encodeproject.org/files/ENCFF200RYP/@@download/ENCFF200RYP.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF453AAS	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	left kidney	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF339EUH, ENCFF967OQF	742879	ENCODE Processing Pipeline	ab7285e94ed4bca71050cc6695c854d1		https://www.encodeproject.org/files/ENCFF453AAS/@@download/ENCFF453AAS.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF825CIW	bed narrowPeak	peaks	ENCSR184DFF	DNase-seq	UBERON:0004538	left kidney	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF428UEN	741427	ENCODE Processing Pipeline	0969028d50d7c6cb2e0844daa494cd6b		https://www.encodeproject.org/files/ENCFF825CIW/@@download/ENCFF825CIW.bed.gz	hg19			released	low read depth, low spot score			
ENCFF270TFI	bed narrowPeak	peaks	ENCSR414ZUA	DNase-seq	UBERON:0004539	right kidney	tissue	embryonic	male	108 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF789JUT	666233	ENCODE Processing Pipeline	b6151001439e35082ebae17dfebd7530		https://www.encodeproject.org/files/ENCFF270TFI/@@download/ENCFF270TFI.bed.gz	hg19			archived	low read depth			
ENCFF733UOT	bed narrowPeak	peaks	ENCSR414ZUA	DNase-seq	UBERON:0004539	right kidney	tissue	embryonic	male	108 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF183FEC, ENCFF992CZQ	669320	ENCODE Processing Pipeline	dca8201fbf391e25deec608425f177be		https://www.encodeproject.org/files/ENCFF733UOT/@@download/ENCFF733UOT.bed.gz	GRCh38			archived	low read depth			
ENCFF480AIG	bed narrowPeak	peaks	ENCSR414ZUA	DNase-seq	UBERON:0004539	right kidney	tissue	embryonic	male	108 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF004DBD, ENCFF967OQF	714493	ENCODE Processing Pipeline	06c01bb4ebbb09dd2afb3a51448254ae		https://www.encodeproject.org/files/ENCFF480AIG/@@download/ENCFF480AIG.bed.gz	GRCh38			released	low read depth			
ENCFF964MKU	bed narrowPeak	peaks	ENCSR414ZUA	DNase-seq	UBERON:0004539	right kidney	tissue	embryonic	male	108 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF492PFH	712391	ENCODE Processing Pipeline	aa7d2e2b1fdaf7014db2bd4e0da7a5d6		https://www.encodeproject.org/files/ENCFF964MKU/@@download/ENCFF964MKU.bed.gz	hg19			released	low read depth			
ENCFF122HLI	bed narrowPeak	peaks	ENCSR317SIH	DNase-seq	UBERON:0002324	muscle of back	tissue	embryonic	male	91 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF186PJP	3806958	ENCODE Processing Pipeline	d934ac0af3ec74671bf554749e78fd69		https://www.encodeproject.org/files/ENCFF122HLI/@@download/ENCFF122HLI.bed.gz	hg19			archived				
ENCFF478XDH	bed narrowPeak	peaks	ENCSR317SIH	DNase-seq	UBERON:0002324	muscle of back	tissue	embryonic	male	91 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF347MBI, ENCFF992CZQ	3827382	ENCODE Processing Pipeline	4e794e4c164b8c5af389b96d463869e2		https://www.encodeproject.org/files/ENCFF478XDH/@@download/ENCFF478XDH.bed.gz	GRCh38			archived				
ENCFF072SZT	bed narrowPeak	peaks	ENCSR317SIH	DNase-seq	UBERON:0002324	muscle of back	tissue	embryonic	male	91 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF877PLC, ENCFF967OQF	3899555	ENCODE Processing Pipeline	4b75f498ae4ae95da36e10ed5c96f76c		https://www.encodeproject.org/files/ENCFF072SZT/@@download/ENCFF072SZT.bed.gz	GRCh38			released				
ENCFF258LMH	bed narrowPeak	peaks	ENCSR317SIH	DNase-seq	UBERON:0002324	muscle of back	tissue	embryonic	male	91 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF693BFS	3879172	ENCODE Processing Pipeline	516aadef84dbe4d79d41504d51005df0		https://www.encodeproject.org/files/ENCFF258LMH/@@download/ENCFF258LMH.bed.gz	hg19			released				
ENCFF874CCT	bed narrowPeak	peaks	ENCSR262QJC	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	male	87 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF947KGW	420054	ENCODE Processing Pipeline	75e8c1d2914057a9de3c1d444707c974		https://www.encodeproject.org/files/ENCFF874CCT/@@download/ENCFF874CCT.bed.gz	hg19			archived	low read depth, low spot score			
ENCFF024TPY	bed narrowPeak	peaks	ENCSR262QJC	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	male	87 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF452WSO, ENCFF992CZQ	421698	ENCODE Processing Pipeline	46ab3301421eea8d7a909eda96b34803		https://www.encodeproject.org/files/ENCFF024TPY/@@download/ENCFF024TPY.bed.gz	GRCh38			archived	low read depth, low spot score			
ENCFF102GUG	bed narrowPeak	peaks	ENCSR262QJC	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	male	87 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF577AHY, ENCFF967OQF	453390	ENCODE Processing Pipeline	80386a565c3a2da342b91758b5d79806		https://www.encodeproject.org/files/ENCFF102GUG/@@download/ENCFF102GUG.bed.gz	GRCh38			released	low read depth, low spot score			
ENCFF096PKD	bed narrowPeak	peaks	ENCSR262QJC	DNase-seq	UBERON:0002113	kidney	tissue	embryonic	male	87 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF606XSN	452188	ENCODE Processing Pipeline	a4a774a44768c0f6c28d9c53cc2663f9		https://www.encodeproject.org/files/ENCFF096PKD/@@download/ENCFF096PKD.bed.gz	hg19			released	low read depth, low spot score			
ENCFF213RJV	bed narrowPeak	peaks	ENCSR960EJV	DNase-seq	UBERON:0002168	left lung	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF253IKB	1009272	ENCODE Processing Pipeline	e6ff82387aec8c387bc4d154121b1905		https://www.encodeproject.org/files/ENCFF213RJV/@@download/ENCFF213RJV.bed.gz	hg19			archived	low read depth			
ENCFF681WSK	bed narrowPeak	peaks	ENCSR960EJV	DNase-seq	UBERON:0002168	left lung	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF951RAO, ENCFF992CZQ	1012574	ENCODE Processing Pipeline	d349440c8323be8030a5c3d5e27b83f8		https://www.encodeproject.org/files/ENCFF681WSK/@@download/ENCFF681WSK.bed.gz	GRCh38			archived	low read depth			
ENCFF371HNS	bed narrowPeak	peaks	ENCSR960EJV	DNase-seq	UBERON:0002168	left lung	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF166WYW, ENCFF967OQF	1064625	ENCODE Processing Pipeline	eb44718570d5798df21de4e9dc1174e5		https://www.encodeproject.org/files/ENCFF371HNS/@@download/ENCFF371HNS.bed.gz	GRCh38			released	low read depth			
ENCFF341KCP	bed narrowPeak	peaks	ENCSR960EJV	DNase-seq	UBERON:0002168	left lung	tissue	embryonic	female	110 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF565CIZ	1060995	ENCODE Processing Pipeline	70afa4acd5b98bfda51044e5bec04342		https://www.encodeproject.org/files/ENCFF341KCP/@@download/ENCFF341KCP.bed.gz	hg19			released	low read depth			
ENCFF868NGL	bed narrowPeak	peaks	ENCSR964VVW	DNase-seq	UBERON:0002167	right lung	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF722RPB, ENCFF992CZQ	959911	ENCODE Processing Pipeline	93794f438fc1fbcae6206cb3dd7d429a		https://www.encodeproject.org/files/ENCFF868NGL/@@download/ENCFF868NGL.bed.gz	GRCh38			archived	low read depth			
ENCFF299FPS	bed narrowPeak	peaks	ENCSR964VVW	DNase-seq	UBERON:0002167	right lung	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF163ZHO, ENCFF594LWR	956190	ENCODE Processing Pipeline	83f731ff87d3b41624266f826dc7209a		https://www.encodeproject.org/files/ENCFF299FPS/@@download/ENCFF299FPS.bed.gz	hg19			archived	low read depth			
ENCFF065SSZ	bed narrowPeak	peaks	ENCSR964VVW	DNase-seq	UBERON:0002167	right lung	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF216TVS, ENCFF967OQF	1005622	ENCODE Processing Pipeline	99b4182476bcef57dafaee978050dca9		https://www.encodeproject.org/files/ENCFF065SSZ/@@download/ENCFF065SSZ.bed.gz	GRCh38			released	low read depth			
ENCFF584LZP	bed narrowPeak	peaks	ENCSR964VVW	DNase-seq	UBERON:0002167	right lung	tissue	embryonic	male	96 day	Homo sapiens							DNA		see document			False	2013-07-31	Roadmap				1							ENCFF390DNP, ENCFF859ERU	1003898	ENCODE Processing Pipeline	d42131d150689efdce83b8f0e46a8393		https://www.encodeproject.org/files/ENCFF584LZP/@@download/ENCFF584LZP.bed.gz	hg19			released	low read depth			
ENCFF001SOR	bed narrowPeak	peaks	ENCSR000EJK	DNase-seq	EFO:0002789	GM19239	immortalized cell line	unknown	male	unknown	Homo sapiens							DNA		see document	see document		False	2011-04-19	ENCODE												1193279	Gregory Crawford, Duke	853d20093fd6a8c12ca7040b3c54396c		https://www.encodeproject.org/files/ENCFF001SOR/@@download/ENCFF001SOR.bed.gz	hg19			archived	low spot score	missing derived_from	insufficient read length	
